               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
150,0.013076,0.016515,0,0.98289,0.98029,0.9865,0.736,0.020769,0.013018,0,0.0055471,0.0055471,0.0055471
151,0.012548,0.016805,0,0.98545,0.979,0.98711,0.73032,0.021064,0.013107,0,0.0055,0.0055,0.0055
152,0.012651,0.016248,0,0.98679,0.98029,0.98706,0.734,0.020963,0.013074,0,0.0054529,0.0054529,0.0054529
153,0.012862,0.016038,0,0.98805,0.98031,0.98749,0.73309,0.021373,0.013246,0,0.0054058,0.0054058,0.0054058
154,0.012836,0.016481,0,0.98549,0.98028,0.98737,0.73765,0.021008,0.013157,0,0.0053587,0.0053587,0.0053587
155,0.012747,0.016231,0,0.98679,0.98029,0.98688,0.73517,0.020767,0.013138,0,0.0053116,0.0053116,0.0053116
156,0.012878,0.016186,0,0.98545,0.979,0.98645,0.73192,0.021013,0.013113,0,0.0052645,0.0052645,0.0052645
157,0.012575,0.016481,0,0.98674,0.97632,0.98634,0.73542,0.020785,0.013075,0,0.0052174,0.0052174,0.0052174
158,0.012795,0.016215,0,0.98669,0.97638,0.98583,0.73495,0.020836,0.013141,0,0.0051704,0.0051704,0.0051704
159,0.012498,0.016353,0,0.9893,0.97375,0.98602,0.73908,0.02064,0.013176,0,0.0051234,0.0051234,0.0051234
160,0.012672,0.016174,0,0.98535,0.97507,0.98614,0.73752,0.020815,0.013169,0,0.0050765,0.0050765,0.0050765
161,0.012572,0.016291,0,0.98029,0.97896,0.98698,0.73299,0.020812,0.013095,0,0.0050296,0.0050296,0.0050296
162,0.012377,0.015833,0,0.98287,0.97898,0.9869,0.7335,0.020891,0.013214,0,0.0049828,0.0049828,0.0049828
163,0.012743,0.01631,0,0.99064,0.97375,0.98672,0.73991,0.020489,0.013104,0,0.004936,0.004936,0.004936
164,0.012345,0.016014,0,0.99193,0.9685,0.98722,0.74223,0.020239,0.013013,0,0.0048893,0.0048893,0.0048893
165,0.012438,0.016113,0,0.99326,0.96982,0.98757,0.74106,0.020589,0.013165,0,0.0048426,0.0048426,0.0048426
166,0.012268,0.016044,0,0.98932,0.97242,0.98751,0.74362,0.020414,0.013086,0,0.004796,0.004796,0.004796
167,0.01243,0.016385,0,0.99195,0.97113,0.9874,0.74277,0.020791,0.013106,0,0.0047495,0.0047495,0.0047495
168,0.012462,0.015973,0,0.99459,0.96455,0.98771,0.74406,0.020783,0.013149,0,0.0047031,0.0047031,0.0047031
169,0.012229,0.016294,0,0.98279,0.97638,0.98702,0.74493,0.020816,0.013055,0,0.0046568,0.0046568,0.0046568
170,0.012238,0.01604,0,0.98287,0.9788,0.98679,0.74328,0.020849,0.01309,0,0.0046105,0.0046105,0.0046105
171,0.01216,0.015856,0,0.98933,0.97638,0.98685,0.74036,0.02098,0.013265,0,0.0045644,0.0045644,0.0045644
172,0.01237,0.015962,0,0.98677,0.979,0.98781,0.7374,0.02114,0.01333,0,0.0045184,0.0045184,0.0045184
173,0.0122,0.015798,0,0.98417,0.97899,0.98768,0.73457,0.021155,0.013252,0,0.0044724,0.0044724,0.0044724
174,0.011923,0.015707,0,0.98931,0.97375,0.9877,0.72978,0.021288,0.013245,0,0.0044266,0.0044266,0.0044266
175,0.012153,0.015725,0,0.98931,0.97244,0.98886,0.73272,0.021197,0.013203,0,0.0043809,0.0043809,0.0043809
176,0.01192,0.01601,0,0.99065,0.97374,0.98738,0.73396,0.02124,0.013247,0,0.0043353,0.0043353,0.0043353
177,0.012138,0.015666,0,0.99065,0.97373,0.98756,0.73764,0.021096,0.013231,0,0.0042899,0.0042899,0.0042899
178,0.012171,0.01581,0,0.99059,0.97244,0.98769,0.73821,0.020901,0.013275,0,0.0042445,0.0042445,0.0042445
179,0.012204,0.01586,0,0.99327,0.97113,0.98757,0.73718,0.020889,0.01321,0,0.0041994,0.0041994,0.0041994
180,0.012132,0.01582,0,0.98932,0.97239,0.98696,0.73677,0.02089,0.013223,0,0.0041543,0.0041543,0.0041543
181,0.012041,0.016081,0,0.99194,0.97244,0.98688,0.73469,0.020765,0.013241,0,0.0041094,0.0041094,0.0041094
182,0.012276,0.016187,0,0.99064,0.97244,0.98684,0.73697,0.020752,0.013198,0,0.0040647,0.0040647,0.0040647
183,0.012063,0.015612,0,0.99061,0.97113,0.98696,0.7359,0.02078,0.013236,0,0.0040201,0.0040201,0.0040201
184,0.012006,0.015441,0,0.99062,0.96978,0.98728,0.74266,0.020499,0.013139,0,0.0039757,0.0039757,0.0039757
185,0.011997,0.015548,0,0.98929,0.96978,0.9868,0.74123,0.020471,0.013212,0,0.0039314,0.0039314,0.0039314
186,0.011889,0.015601,0,0.99325,0.9685,0.98683,0.73944,0.020398,0.013175,0,0.0038873,0.0038873,0.0038873
187,0.012012,0.015471,0,0.97902,0.98031,0.98707,0.73939,0.020531,0.013149,0,0.0038434,0.0038434,0.0038434
188,0.011961,0.015878,0,0.98158,0.979,0.98745,0.73966,0.020636,0.013151,0,0.0037997,0.0037997,0.0037997
189,0.011697,0.015941,0,0.99059,0.96982,0.98736,0.73769,0.020799,0.013239,0,0.0037562,0.0037562,0.0037562
190,0.011744,0.015299,0,0.99191,0.96584,0.98726,0.73501,0.021068,0.013353,0,0.0037128,0.0037128,0.0037128
191,0.011824,0.015704,0,0.98795,0.96848,0.98719,0.73335,0.020856,0.013334,0,0.0036697,0.0036697,0.0036697
192,0.011723,0.015347,0,0.98668,0.97242,0.98722,0.7344,0.020832,0.013275,0,0.0036267,0.0036267,0.0036267
193,0.01175,0.015308,0,0.98798,0.97113,0.98733,0.73255,0.020841,0.013246,0,0.003584,0.003584,0.003584
194,0.011667,0.015331,0,0.98285,0.97764,0.98737,0.73497,0.020796,0.013271,0,0.0035415,0.0035415,0.0035415
195,0.011731,0.015701,0,0.98543,0.97634,0.9874,0.73639,0.020815,0.013293,0,0.0034991,0.0034991,0.0034991
196,0.011606,0.015432,0,0.98155,0.97766,0.98764,0.73479,0.020858,0.013432,0,0.003457,0.003457,0.003457
197,0.011408,0.015381,0,0.98026,0.97768,0.98717,0.73676,0.020922,0.013429,0,0.0034152,0.0034152,0.0034152
198,0.011644,0.015088,0,0.98533,0.97113,0.98697,0.73855,0.020787,0.013354,0,0.0033735,0.0033735,0.0033735
199,0.011476,0.015479,0,0.98537,0.97243,0.98694,0.7383,0.020709,0.013288,0,0.0033321,0.0033321,0.0033321
200,0.011547,0.015401,0,0.99059,0.96718,0.98696,0.73621,0.020805,0.013334,0,0.0032909,0.0032909,0.0032909
Average,0.015732517,0.018312721,,0.977616318,0.967741642,0.981153532,0.709409114,0.022623552,0.013524025,,,,
